task_id,title,instructions,deliverables,estimated_hours,template_files
1,役割分担決定,"統括、会場、広報、スポンサー等の各リーダーを決める。副担当も決めると良い。",役割分担表,2,"subtask_details/1_kickoff_agenda.md"
1,定例MTGスケジュール設定,"週次または隔週でのMTG日時を固定する。Googleカレンダー招待を送る。",定例MTG予定,1,"subtask_details/3_meeting_minutes.md"
1,コミュニケーションツール開設,"Slackワークスペース作成、チャンネル設計（#general, #random, #各チーム）。",Slack/Discord,2,"subtask_details/4_communication_setup.md"
1,企画書作成,"イベントの全体像をまとめる。",企画書,3,"subtask_details/1_event_proposal.md"
2,コンセプト詳細化,"誰に、何を、何のために提供するのかを言語化する。",企画書コンセプト,5,"subtask_details/6_concept_detail.md"
2,ターゲットペルソナ策定,"具体的な属性（職種、年次、課題）を定義する。",ペルソナ定義,2,"subtask_details/7_persona_sheet.md"
2,収支予算計画作成,"収入（チケット、スポンサー）と支出（会場、機材、飲食）の概算を算出する。",収支予算書,3,"subtask_details/2_budget_items.md"
3,要件定義,"日時、キャパシティ、立地、予算、必須設備（Wi-Fi、プロジェクター）をリスト化する。",会場要件リスト,2,"subtask_details/9_venue_requirements.md"
3,候補地リストアップ,"Web検索や紹介で5〜10件リストアップする。",候補地リスト,2,"subtask_details/10_venue_comparison.md"
3,空き状況確認,"電話またはフォームで空き状況と概算見積もりを問い合わせる。",空き状況回答,1,"subtask_details/3_venue_inquiry.md"
3,現地視察,"内覧に行き、ネット速度、搬入経路、電源位置などを計測する。",内覧レポート,2,"subtask_details/12_venue_inspection.md"
3,会場契約,"申込書提出、手付金支払い。",契約書,1,"subtask_details/13_venue_contract.md"
4,スポンサープラン策定,"金額ごとの特典（ロゴ、登壇、ブース）を設計する。",スポンサープラン一覧,3,"subtask_details/4_sponsor_plan.md"
4,協賛メリット整理,"企業が協賛する理由（採用、PR、リード獲得）を整理する。",メリット資料,2,"subtask_details/15_sponsor_benefits.md"
4,資料デザイン,"見やすく魅力的なスライドを作成する。",スポンサー募集Deck,3,"subtask_details/16_sponsor_deck_design.md"
5,スポンサーリストアップ,"親和性の高い企業、過去のスポンサー企業をリスト化する。",アタックリスト,4,"subtask_details/17_sponsor_list.md"
5,アポイント獲得,"メールやフォームから連絡を取る。",商談アポ,6,"subtask_details/5_sponsor_request.md"
5,商談・提案,"資料を用いてメリットを説明し、契約の意向を確認する。",商談実施,8,"subtask_details/19_sponsor_negotiation.md"
5,契約締結・請求,"契約書締結、請求書発行、入金確認。",契約書・入金,2,"subtask_details/20_sponsor_contract.md"
6,登壇候補者リストアップ,"テーマに合い、集客力のある人物を挙げる。",登壇候補リスト,3,"subtask_details/21_speaker_candidate_list.md"
6,依頼文作成・送付,"登壇のメリットと熱意を伝える依頼文を送る。",依頼メール送信,3,"subtask_details/6_speaker_request.md"
6,日程・条件調整,"登壇日時、謝礼、タイトルなどを調整し合意する。",合意形成,2,"subtask_details/23_speaker_scheduling.md"
6,登壇者情報回収,"写真、プロフィール、タイトル、概要を集める。",登壇者情報,2,"subtask_details/33_speaker_info_form.md"
7,Lumaページ作成,"イベント情報を入力し、公開設定を行う。",イベントページ,2,"subtask_details/9_event_page.md"
7,OGP画像作成,"SNSでシェアされた時に表示される画像を作成する。",OGP画像,2,"subtask_details/26_ogp_image.md"
7,公開設定,"チケット種別やアンケート項目を設定して公開する。",公開URL,1,"subtask_details/27_luma_publish.md"
8,告知スケジュール策定,"いつ、どのチャネルで、何を出すか決める。",告知カレンダー,2,"subtask_details/28_pr_calendar.md"
8,プレスリリース作成,"PR TIMES等に入稿する原稿を作成する。",プレスリリース原稿,2,"subtask_details/8_press_release.md"
8,SNS運用方針決定,"ハッシュタグ、投稿頻度、トンマナを決める。",SNS運用ルール,1,"subtask_details/30_sns_guideline.md"
9,チケット販売状況確認,"日々の申込数を記録し、ペースが遅ければ対策を打つ。",集客管理表,1,"subtask_details/31_ticket_sales_tracker.md"
9,追加施策検討,"集客が伸び悩んでいる場合、追加の告知や割引などを検討する。",追加施策案,2,"subtask_details/32_additional_measures.md"
10,タイトル・概要回収,"登壇者から最終的なタイトルと概要をもらう。",セッション情報,2,"subtask_details/33_speaker_info_form.md"
10,スライド資料回収,"事前に資料をもらい、文字化けや動作確認を行う。",スライドデータ,3,"subtask_details/34_slide_submission_request.md"
10,事前接続テスト,"オンライン登壇の場合はZoom等の接続テストを行う。",テスト完了,3,"subtask_details/35_connection_test_checklist.md"
10,登壇要項案内,"当日の集合場所や持ち物を案内する。",案内メール,1,"subtask_details/10_speaker_guidelines.md"
11,パンフレット構成,"掲載内容（タイムテーブル、スポンサー）を決める。",構成案,3,"subtask_details/11_creative_list.md"
11,バナー・パネル作成,"各種サイズに合わせてデザインデータを作成する。",入稿データ,5,"subtask_details/38_banner_design.md"
11,入稿・検品,"印刷会社に入稿し、納品されたら検品する。",完成制作物,4,"subtask_details/39_print_qa.md"
12,レイアウト確定,"座席配置、受付位置、導線を決める。",レイアウト図,2,"subtask_details/40_venue_layout.md"
12,機材手配,"マイク本数、プロジェクター、配信機材を手配する。",機材リスト,2,"subtask_details/41_equipment_booking.md"
12,備品リスト作成・購入,"文房具、養生テープ、名札ケースなどを購入する。",備品一式,2,"subtask_details/12_equipment_list.md"
13,メニュー選定,"予算内で量と質を調整し、発注する。",発注書,2,"subtask_details/43_catering_order.md"
13,ドリンク発注,"アルコール、ソフトドリンクをバランスよく発注する。",ドリンク手配,1,"subtask_details/44_drink_order.md"
13,BGM選定,"開場時、歓談時などのBGMリストを作る。",BGMリスト,1,"subtask_details/45_bgm_playlist.md"
14,カウントダウン画像作成,"「あと〇日」の画像を作成する。",画像データ,3,"subtask_details/46_countdown_posts.md"
14,リマインド配信,"参加予定者に当日の案内メールを送る。",リマインドメール,2,"subtask_details/47_reminder_email.md"
14,SNS拡散,"ハッシュタグで投稿し、トレンド入りを狙う。",SNS投稿,5,"subtask_details/14_sns_posts.md"
15,タイムテーブル詳細化,"転換時間も含めた詳細な進行表を作る。",詳細タイムテーブル,3,"subtask_details/49_detailed_timetable.md"
15,スタッフ配置,"誰がどこに立つか（受付、誘導、音響）を決める。",配置図,3,"subtask_details/50_staff_assignment.md"
15,進行台本作成,"MCのセリフ、照明音響のタイミングを書き込む。",進行台本,4,"subtask_details/15_operation_script.md"
15,緊急連絡網作成,"トラブル時の連絡ルートをまとめる。",緊急連絡網,2,"subtask_details/52_emergency_contact.md"
16,機材搬入・設営,"椅子並べ、機材セッティングを行う。",設営完了,3,"subtask_details/53_setup.md"
16,通しリハ,"本番同様に進行し、問題点を洗い出す。",リハ完了,2,"subtask_details/54_rehearsal.md"
16,スタッフ最終MTG,"当日の動きと注意点を全員で共有する。",意思統一,1,"subtask_details/55_final_meeting_agenda.md"
17,受付対応,"スムーズに受付を行い、パスを渡す。",受付完了,3,"subtask_details/56_reception.md"
17,進行管理,"タイムキーパーを行い、遅れがあれば調整する。",イベント終了,5,"subtask_details/57_event_operation.md"
17,撤収・原状回復,"ゴミを片付け、備品を元に戻して撤収する。",撤収完了,2,"subtask_details/58_teardown.md"
18,アンケート集計,"回答を集計し、満足度や意見を分析する。",アンケートレポート,2,"subtask_details/18_survey_report.md"
18,お礼メール送信,"参加者、登壇者にお礼と資料リンクを送る。",送信完了,1,"subtask_details/60_thank_you_email.md"
18,開催レポート作成,"ブログやnoteでイベントの様子を公開する。",公開記事,2,"subtask_details/61_event_report.md"
19,実施報告書作成,"数値をまとめた報告書を作成する。",報告書PDF,3,"subtask_details/19_sponsor_report.md"
19,お礼訪問,"報告書を持って訪問し、感謝と次回提案を行う。",訪問実施,2,"subtask_details/63_sponsor_visit.md"

